"Cow","Elo_random","NV_DW_SB_KI_experts_mean"
"4008",1178,19.99941037
"4026",1088,17.47007726
"4035",1510,27.28050056
"5064",869,11.0771188
"5087",1510,26.53172003
"5118",844,10.29852207
"6025",963,13.89591855
"6029",734,7.580196538
"6046",815,9.026231322
"6053",970,13.13278803
"6062",988,14.11609781
"6068",919,13.9006189
"6086",1227,20.69132503
"6088",1324,24.01227548
"6092",820,9.255304195
"6094",887,11.54125332
"6095",1174,20.07463475
"6096",1053,14.34867581
"7045",718,7.410988251
"7060",789,9.213625453
"7064",921,12.72072133
"7109",909,12.31813384
"7114",948,12.59577339
"7116",1355,23.11082861
"7128",895,11.03198885
"7136",800,9.365881822
"7138",974,13.7751337
"7153",892,11.32749114
"7163",844,10.80049119
"8083",1082,17.09627362
